1, 0.004, 3.53, 3.51,  *,  *,  *,  *, 
2, 0.009, 3.51, 3.55,  *,  *,  *,  *, 
3, 0.013, 3.52, 3.55,  *,  *,  *,  *, 
4, 0.021, 3.5, 3.55,  *,  *,  *,  *, 
5, 0.029, 3.51, 3.55,  *,  *,  *,  *, 
6, 0.039, 3.52, 3.55,  *,  *,  *,  *, 
7, 0.043, 3.5, 3.54,  *,  *,  *,  *, 
8, 0.049, 3.51, 3.55,  *,  *,  *,  *, 
9, 0.057, 3.52, 3.55,  *,  *,  *,  *, 
10, 0.068, 3.5, 3.54,  *,  *,  *,  *, 
11, 0.072, 3.52, 3.55,  *,  *,  *,  *, 
12, 0.08, 3.51, 3.55,  *,  *,  *,  *, 
13, 0.087, 3.5, 3.55,  *,  *,  *,  *, 
14, 0.094, 3.52, 3.55,  *,  *,  *,  *, 
15, 0.1, 3.51, 3.54,  *,  *,  *,  *, 
16, 0.107, 3.5, 3.55,  *,  *,  *,  *, 
17, 0.114, 3.52, 3.55,  *,  *,  *,  *, 
18, 0.124, 3.5, 3.54,  *,  *,  *,  *, 
19, 0.128, 3.51, 3.55,  *,  *,  *,  *, 
20, 0.135, 3.52, 3.55,  *,  *,  *,  *, 
21, 0.145, 3.5, 3.54,  *,  *,  *,  *, 
22, 0.153, 3.51, 3.55,  *,  *,  *,  *, 
23, 0.156, 3.51, 3.55,  *,  *,  *,  *, 
24, 0.165, 3.49, 3.54,  *,  *,  *,  *, 
25, 0.172, 3.52, 3.55,  *,  *,  *,  *, 
26, 0.18, 3.51, 3.54,  *,  *,  *,  *, 
27, 0.184, 3.5, 3.55,  *,  *,  *,  *, 
28, 0.194, 3.52, 3.56,  *,  *,  *,  *, 
29, 0.201, 3.51, 3.54,  *,  *,  *,  *, 
30, 0.209, 3.5, 3.55,  *,  *,  *,  *, 
31, 0.213, 3.52, 3.55,  *,  *,  *,  *, 
32, 0.221, 3.5, 3.54,  *,  *,  *,  *, 
33, 0.23, 3.51, 3.55,  *,  *,  *,  *, 
34, 0.238, 3.51, 3.55,  *,  *,  *,  *, 
35, 0.246, 3.5, 3.54,  *,  *,  *,  *, 
36, 0.255, 3.52, 3.55,  *,  *,  *,  *, 
37, 0.263, 3.5, 3.54,  *,  *,  *,  *, 
38, 0.267, 3.51, 3.55,  *,  *,  *,  *, 
39, 0.276, 3.52, 3.55,  *,  *,  *,  *, 
40, 0.283, 3.5, 3.55,  *,  *,  *,  *, 
41, 0.291, 3.51, 3.55,  *,  *,  *,  *, 
42, 0.296, 3.51, 3.55,  *,  *,  *,  *, 
43, 0.304, 3.5, 3.54,  *,  *,  *,  *, 
44, 0.312, 3.52, 3.55,  *,  *,  *,  *, 
45, 0.321, 3.51, 3.55,  *,  *,  *,  *, 
46, 0.324, 3.5, 3.55,  *,  *,  *,  *, 
47, 0.332, 3.52, 3.56,  *,  *,  *,  *, 
48, 0.34, 3.51, 3.55,  *,  *,  *,  *, 
49, 0.348, 3.5, 3.55,  *,  *,  *,  *, 
50, 0.354, 3.52, 3.55,  *,  *,  *,  *, 
51, 0.361, 3.5, 3.54,  *,  *,  *,  *, 
52, 0.369, 3.51, 3.55,  *,  *,  *,  *, 
53, 0.376, 3.52, 3.55,  *,  *,  *,  *, 
54, 0.381, 3.5, 3.54,  *,  *,  *,  *, 
55, 0.39, 3.51, 3.56,  *,  *,  *,  *, 
56, 0.397, 3.51, 3.55,  *,  *,  *,  *, 
57, 0.406, 3.5, 3.55,  *,  *,  *,  *, 
58, 0.411, 3.52, 3.55,  *,  *,  *,  *, 
59, 0.419, 3.51, 3.55,  *,  *,  *,  *, 
60, 0.426, 3.5, 3.55,  *,  *,  *,  *, 
61, 0.435, 3.52, 3.56,  *,  *,  *,  *, 
62, 0.44, 3.5, 3.55,  *,  *,  *,  *, 
63, 0.447, 3.5, 3.55,  *,  *,  *,  *, 
64, 0.454, 3.52, 3.56,  *,  *,  *,  *, 
65, 0.464, 3.49, 3.55,  *,  *,  *,  *, 
66, 0.471, 3.52, 3.56,  *,  *,  *,  *, 
67, 0.479, 3.51, 3.55,  *,  *,  *,  *, 
68, 0.488, 3.5, 3.55,  *,  *,  *,  *, 
69, 0.491, 3.52, 3.56,  *,  *,  *,  *, 
70, 0.5, 3.5, 3.55,  *,  *,  *,  *, 
71, 0.509, 3.5, 3.55,  *,  *,  *,  *, 
72, 0.516, 3.52, 3.55,  *,  *,  *,  *, 
73, 0.521, 3.5, 3.55,  *,  *,  *,  *, 
74, 0.529, 3.51, 3.55,  *,  *,  *,  *, 
75, 0.537, 3.51, 3.55,  *,  *,  *,  *, 
76, 0.545, 3.5, 3.54,  *,  *,  *,  *, 
77, 0.549, 3.51, 3.56,  *,  *,  *,  *, 
78, 0.557, 3.51, 3.55,  *,  *,  *,  *, 
79, 0.566, 3.5, 3.55,  *,  *,  *,  *, 
80, 0.574, 3.52, 3.55,  *,  *,  *,  *, 
81, 0.579, 3.51, 3.54,  *,  *,  *,  *, 
82, 0.585, 3.5, 3.55,  *,  *,  *,  *, 
83, 0.593, 3.52, 3.55,  *,  *,  *,  *, 
84, 0.603, 3.5, 3.55,  *,  *,  *,  *, 
85, 0.607, 3.51, 3.55,  *,  *,  *,  *, 
86, 0.613, 3.52, 3.55,  *,  *,  *,  *, 
87, 0.621, 3.5, 3.54,  *,  *,  *,  *, 
88, 0.631, 3.51, 3.56,  *,  *,  *,  *, 
89, 0.635, 3.52, 3.55,  *,  *,  *,  *, 
90, 0.642, 3.5, 3.55,  *,  *,  *,  *, 
91, 0.651, 3.52, 3.56,  *,  *,  *,  *, 
92, 0.66, 3.5, 3.55,  *,  *,  *,  *, 
93, 0.669, 3.51, 3.55,  *,  *,  *,  *, 
94, 0.675, 3.52, 3.55,  *,  *,  *,  *, 
95, 0.684, 3.5, 3.54,  *,  *,  *,  *, 
96, 0.689, 3.51, 3.56,  *,  *,  *,  *, 
97, 0.696, 3.51, 3.55,  *,  *,  *,  *, 
98, 0.704, 3.5, 3.55,  *,  *,  *,  *, 
99, 0.712, 3.52, 3.56,  *,  *,  *,  *, 
100, 0.716, 3.5, 3.55,  *,  *,  *,  *, 
101, 0.724, 3.5, 3.55,  *,  *,  *,  *, 
102, 0.733, 3.52, 3.56,  *,  *,  *,  *, 
103, 0.742, 3.51, 3.55,  *,  *,  *,  *, 
104, 0.745, 3.5, 3.55,  *,  *,  *,  *, 
105, 0.753, 3.52, 3.56,  *,  *,  *,  *, 
106, 0.763, 3.5, 3.55,  *,  *,  *,  *, 
107, 0.77, 3.51, 3.56,  *,  *,  *,  *, 
108, 0.773, 3.51, 3.55,  *,  *,  *,  *, 
109, 0.783, 3.5, 3.55,  *,  *,  *,  *, 
110, 0.791, 3.51, 3.55,  *,  *,  *,  *, 
111, 0.798, 3.51, 3.55,  *,  *,  *,  *, 
112, 0.803, 3.5, 3.55,  *,  *,  *,  *, 
113, 0.811, 3.51, 3.56,  *,  *,  *,  *, 
114, 0.818, 3.5, 3.55,  *,  *,  *,  *, 
115, 0.826, 3.5, 3.55,  *,  *,  *,  *, 
116, 0.831, 3.52, 3.55,  *,  *,  *,  *, 
117, 0.839, 3.5, 3.55,  *,  *,  *,  *, 
118, 0.848, 3.5, 3.55,  *,  *,  *,  *, 
119, 0.855, 3.52, 3.55,  *,  *,  *,  *, 
120, 0.86, 3.5, 3.54,  *,  *,  *,  *, 
121, 0.868, 3.5, 3.55,  *,  *,  *,  *, 
122, 0.877, 3.52, 3.55,  *,  *,  *,  *, 
123, 0.885, 3.5, 3.55,  *,  *,  *,  *, 
124, 0.892, 3.52, 3.55,  *,  *,  *,  *, 
125, 0.901, 3.5, 3.55,  *,  *,  *,  *, 
126, 0.909, 3.51, 3.55,  *,  *,  *,  *, 
127, 0.912, 3.52, 3.55,  *,  *,  *,  *, 
128, 0.919, 3.49, 3.55,  *,  *,  *,  *, 
129, 0.93, 3.52, 3.56,  *,  *,  *,  *, 
130, 0.937, 3.51, 3.55,  *,  *,  *,  *, 
131, 0.943, 3.5, 3.55,  *,  *,  *,  *, 
132, 0.95, 3.51, 3.56,  *,  *,  *,  *, 
133, 0.957, 3.51, 3.55,  *,  *,  *,  *, 
134, 0.967, 3.5, 3.55,  *,  *,  *,  *, 
135, 0.97, 3.52, 3.56,  *,  *,  *,  *, 
136, 0.978, 3.5, 3.55,  *,  *,  *,  *, 
137, 0.985, 3.5, 3.55,  *,  *,  *,  *, 
138, 0.995, 3.52, 3.56,  *,  *,  *,  *, 
139, 1.0, 3.5, 3.55,  *,  *,  *,  *, 
140, 1.007, 3.51, 3.55,  *,  *,  *,  *, 
141, 1.014, 3.52, 3.55,  *,  *,  *,  *, 
142, 1.023, 3.5, 3.55,  *,  *,  *,  *, 
143, 1.027, 3.51, 3.55,  *,  *,  *,  *, 
144, 1.035, 3.51, 3.55,  *,  *,  *,  *, 
145, 1.043, 3.49, 3.55,  *,  *,  *,  *, 
146, 1.052, 3.52, 3.56,  *,  *,  *,  *, 
147, 1.056, 3.5, 3.55,  *,  *,  *,  *, 
148, 1.063, 3.5, 3.55,  *,  *,  *,  *, 
149, 1.073, 3.52, 3.56,  *,  *,  *,  *, 
150, 1.08, 3.5, 3.55,  *,  *,  *,  *, 
151, 1.085, 3.5, 3.55,  *,  *,  *,  *, 
152, 1.092, 3.52, 3.56,  *,  *,  *,  *, 
153, 1.102, 3.5, 3.55,  *,  *,  *,  *, 
154, 1.109, 3.52, 3.56,  *,  *,  *,  *, 
155, 1.118, 3.51, 3.55,  *,  *,  *,  *, 
156, 1.126, 3.5, 3.55,  *,  *,  *,  *, 
157, 1.132, 3.52, 3.56,  *,  *,  *,  *, 
158, 1.136, 3.5, 3.55,  *,  *,  *,  *, 
159, 1.145, 3.5, 3.55,  *,  *,  *,  *, 
160, 1.155, 3.52, 3.56,  *,  *,  *,  *, 
161, 1.163, 3.5, 3.54,  *,  *,  *,  *, 
162, 1.166, 3.51, 3.55,  *,  *,  *,  *, 
163, 1.173, 3.51, 3.55,  *,  *,  *,  *, 
164, 1.182, 3.5, 3.55,  *,  *,  *,  *, 
165, 1.19, 3.52, 3.56,  *,  *,  *,  *, 
166, 1.195, 3.51, 3.55,  *,  *,  *,  *, 
167, 1.202, 3.5, 3.55,  *,  *,  *,  *, 
168, 1.211, 3.52, 3.56,  *,  *,  *,  *, 
169, 1.219, 3.5, 3.54,  *,  *,  *,  *, 
170, 1.225, 3.5, 3.55,  *,  *,  *,  *, 
171, 1.233, 3.52, 3.56,  *,  *,  *,  *, 
172, 1.239, 3.5, 3.55,  *,  *,  *,  *, 
173, 1.249, 3.5, 3.55,  *,  *,  *,  *, 
174, 1.253, 3.51, 3.56,  *,  *,  *,  *, 
175, 1.26, 3.49, 3.55,  *,  *,  *,  *, 
176, 1.269, 3.51, 3.55,  *,  *,  *,  *, 
177, 1.276, 3.51, 3.55,  *,  *,  *,  *, 
178, 1.28, 3.49, 3.55,  *,  *,  *,  *, 
179, 1.288, 3.51, 3.56,  *,  *,  *,  *, 
180, 1.298, 3.5, 3.55,  *,  *,  *,  *, 
181, 1.304, 3.5, 3.55,  *,  *,  *,  *, 
182, 1.311, 3.51, 3.56,  *,  *,  *,  *, 
183, 1.318, 3.5, 3.55,  *,  *,  *,  *, 
184, 1.325, 3.5, 3.55,  *,  *,  *,  *, 
185, 1.334, 3.51, 3.56,  *,  *,  *,  *, 
186, 1.342, 3.5, 3.55,  *,  *,  *,  *, 
187, 1.351, 3.52, 3.56,  *,  *,  *,  *, 
188, 1.357, 3.5, 3.55,  *,  *,  *,  *, 
189, 1.363, 3.5, 3.55,  *,  *,  *,  *, 
190, 1.372, 3.52, 3.56,  *,  *,  *,  *, 
191, 1.379, 3.5, 3.55,  *,  *,  *,  *, 
192, 1.387, 3.5, 3.56,  *,  *,  *,  *, 
193, 1.391, 3.51, 3.56,  *,  *,  *,  *, 
194, 1.399, 3.49, 3.54,  *,  *,  *,  *, 
195, 1.408, 3.51, 3.55,  *,  *,  *,  *, 
196, 1.415, 3.51, 3.55,  *,  *,  *,  *, 
197, 1.42, 3.49, 3.55,  *,  *,  *,  *, 
198, 1.427, 3.51, 3.56,  *,  *,  *,  *, 
199, 1.435, 3.51, 3.55,  *,  *,  *,  *, 
200, 1.444, 3.5, 3.55,  *,  *,  *,  *, 
201, 1.448, 3.52, 3.56,  *,  *,  *,  *, 
202, 1.456, 3.5, 3.55,  *,  *,  *,  *, 
203, 1.465, 3.5, 3.55,  *,  *,  *,  *, 
204, 1.474, 3.52, 3.56,  *,  *,  *,  *, 
205, 1.477, 3.5, 3.55,  *,  *,  *,  *, 
206, 1.484, 3.5, 3.55,  *,  *,  *,  *, 
207, 1.493, 3.51, 3.55,  *,  *,  *,  *, 
208, 1.502, 3.49, 3.55,  *,  *,  *,  *, 
209, 1.507, 3.51, 3.56,  *,  *,  *,  *, 
210, 1.514, 3.51, 3.55,  *,  *,  *,  *, 
211, 1.522, 3.49, 3.55,  *,  *,  *,  *, 
212, 1.53, 3.51, 3.56,  *,  *,  *,  *, 
213, 1.539, 3.49, 3.55,  *,  *,  *,  *, 
214, 1.546, 3.51, 3.55,  *,  *,  *,  *, 
215, 1.556, 3.51, 3.56,  *,  *,  *,  *, 
216, 1.56, 3.49, 3.55,  *,  *,  *,  *, 
217, 1.568, 3.51, 3.56,  *,  *,  *,  *, 
218, 1.576, 3.51, 3.55,  *,  *,  *,  *, 
219, 1.583, 3.49, 3.55,  *,  *,  *,  *, 
220, 1.588, 3.52, 3.56,  *,  *,  *,  *, 
221, 1.595, 3.5, 3.55,  *,  *,  *,  *, 
222, 1.603, 3.5, 3.55,  *,  *,  *,  *, 
223, 1.613, 3.52, 3.56,  *,  *,  *,  *, 
224, 1.617, 3.5, 3.55,  *,  *,  *,  *, 
225, 1.624, 3.5, 3.55,  *,  *,  *,  *, 
226, 1.633, 3.51, 3.56,  *,  *,  *,  *, 
227, 1.641, 3.49, 3.55,  *,  *,  *,  *, 
228, 1.646, 3.51, 3.56,  *,  *,  *,  *, 
229, 1.654, 3.51, 3.56,  *,  *,  *,  *, 
230, 1.66, 3.49, 3.55,  *,  *,  *,  *, 
231, 1.669, 3.51, 3.56,  *,  *,  *,  *, 
232, 1.675, 3.51, 3.55,  *,  *,  *,  *, 
233, 1.682, 3.49, 3.55,  *,  *,  *,  *, 
234, 1.688, 3.51, 3.55,  *,  *,  *,  *, 
235, 1.697, 3.5, 3.55,  *,  *,  *,  *, 
236, 1.703, 3.5, 3.55,  *,  *,  *,  *, 
237, 1.71, 3.52, 3.56,  *,  *,  *,  *, 
238, 1.718, 3.5, 3.55,  *,  *,  *,  *, 
239, 1.726, 3.5, 3.56,  *,  *,  *,  *, 
240, 1.731, 3.52, 3.56,  *,  *,  *,  *, 
241, 1.739, 3.49, 3.55,  *,  *,  *,  *, 
242, 1.748, 3.51, 3.56,  *,  *,  *,  *, 
243, 1.756, 3.5, 3.55,  *,  *,  *,  *, 
244, 1.763, 3.5, 3.55,  *,  *,  *,  *, 
245, 1.772, 3.51, 3.56,  *,  *,  *,  *, 
246, 1.78, 3.5, 3.55,  *,  *,  *,  *, 
247, 1.784, 3.51, 3.55,  *,  *,  *,  *, 
248, 1.793, 3.51, 3.55,  *,  *,  *,  *, 
249, 1.8, 3.5, 3.55,  *,  *,  *,  *, 
250, 1.808, 3.51, 3.56,  *,  *,  *,  *, 
251, 1.811, 3.51, 3.55,  *,  *,  *,  *, 
252, 1.82, 3.49, 3.54,  *,  *,  *,  *, 
253, 1.829, 3.51, 3.55,  *,  *,  *,  *, 
254, 1.836, 3.5, 3.55,  *,  *,  *,  *, 
255, 1.841, 3.5, 3.55,  *,  *,  *,  *, 
256, 1.848, 3.51, 3.56,  *,  *,  *,  *, 
257, 1.856, 3.5, 3.55,  *,  *,  *,  *, 
258, 1.864, 3.5, 3.55,  *,  *,  *,  *, 
259, 1.869, 3.52, 3.56,  *,  *,  *,  *, 
260, 1.878, 3.49, 3.55,  *,  *,  *,  *, 
261, 1.885, 3.51, 3.56,  *,  *,  *,  *, 
262, 1.894, 3.51, 3.56,  *,  *,  *,  *, 
263, 1.899, 3.49, 3.55,  *,  *,  *,  *, 
264, 1.906, 3.51, 3.56,  *,  *,  *,  *, 
265, 1.913, 3.51, 3.55,  *,  *,  *,  *, 
266, 1.921, 3.49, 3.55,  *,  *,  *,  *, 
267, 1.928, 3.52, 3.56,  *,  *,  *,  *, 
268, 1.934, 3.5, 3.55,  *,  *,  *,  *, 
269, 1.943, 3.49, 3.55,  *,  *,  *,  *, 
270, 1.952, 3.52, 3.56,  *,  *,  *,  *, 
271, 1.955, 3.5, 3.55,  *,  *,  *,  *, 
272, 1.962, 3.5, 3.55,  *,  *,  *,  *, 
273, 1.971, 3.52, 3.56,  *,  *,  *,  *, 
274, 1.98, 3.49, 3.55,  *,  *,  *,  *, 
275, 1.989, 3.52, 3.56,  *,  *,  *,  *, 
276, 1.996, 3.5, 3.55,  *,  *,  *,  *, 
277, 2.005, 3.5, 3.55,  *,  *,  *,  *, 
278, 2.009, 3.51, 3.56,  *,  *,  *,  *, 
279, 2.015, 3.49, 3.55,  *,  *,  *,  *, 
280, 2.024, 3.51, 3.56,  *,  *,  *,  *, 
281, 2.034, 3.51, 3.56,  *,  *,  *,  *, 
282, 2.038, 3.49, 3.55,  *,  *,  *,  *, 
283, 2.045, 3.51, 3.56,  *,  *,  *,  *, 
284, 2.054, 3.51, 3.56,  *,  *,  *,  *, 
285, 2.061, 3.49, 3.55,  *,  *,  *,  *, 
286, 2.066, 3.51, 3.56,  *,  *,  *,  *, 
287, 2.074, 3.5, 3.55,  *,  *,  *,  *, 
288, 2.082, 3.49, 3.55,  *,  *,  *,  *, 
289, 2.091, 3.51, 3.56,  *,  *,  *,  *, 
290, 2.095, 3.49, 3.55,  *,  *,  *,  *, 
291, 2.104, 3.5, 3.56,  *,  *,  *,  *, 
292, 2.111, 3.51, 3.56,  *,  *,  *,  *, 
293, 2.118, 3.49, 3.55,  *,  *,  *,  *, 
294, 2.122, 3.5, 3.56,  *,  *,  *,  *, 
295, 2.131, 3.51, 3.55,  *,  *,  *,  *, 
296, 2.14, 3.49, 3.54,  *,  *,  *,  *, 
297, 2.147, 3.51, 3.56,  *,  *,  *,  *, 
298, 2.151, 3.51, 3.55,  *,  *,  *,  *, 
299, 2.159, 3.49, 3.55,  *,  *,  *,  *, 
300, 2.168, 3.51, 3.56,  *,  *,  *,  *, 
301, 2.177, 3.5, 3.55,  *,  *,  *,  *, 
302, 2.182, 3.49, 3.55,  *,  *,  *,  *, 
303, 2.188, 3.51, 3.56,  *,  *,  *,  *, 
304, 2.197, 3.49, 3.55,  *,  *,  *,  *, 
305, 2.205, 3.51, 3.56,  *,  *,  *,  *, 
306, 2.214, 3.5, 3.55,  *,  *,  *,  *, 
307, 2.221, 3.49, 3.55,  *,  *,  *,  *, 
308, 2.229, 3.51, 3.56,  *,  *,  *,  *, 
309, 2.233, 3.5, 3.55,  *,  *,  *,  *, 
310, 2.241, 3.5, 3.55,  *,  *,  *,  *, 
311, 2.251, 3.52, 3.56,  *,  *,  *,  *, 
312, 2.259, 3.5, 3.55,  *,  *,  *,  *, 
313, 2.263, 3.5, 3.55,  *,  *,  *,  *, 
314, 2.269, 3.51, 3.55,  *,  *,  *,  *, 
315, 2.277, 3.49, 3.55,  *,  *,  *,  *, 
